"Quel est votre département ?","Quel est votre âge ?","Êtes-vous agent public ?","Quel est votre genre ?","Quel est votre genre non-binaire ?","Quel est votre statut d’emploi ?","Un coût","De moins en moins accessible","Une nécessité pour affronter la crise climatique","Moins efficace que le privé","Le passé","Ce que nous avons en commun","Des professionnel·le·s de qualité",Pénible,"Ce qui nous permet de tenir pendant la pandémie de COVID-19","Des professionnel·le·s en crise","Le meilleur moyen de réduire les inégalités","Avec quels services publics êtes-vous régulièrement en contact (cochez en autant que vous le voulez) :","Avec quels autres services publics êtes-vous régulièrement en contact ?","Ces dernières années, trouvez-vous que les services publics dont vous avez l’usage :","Quelles sont pour vous les trois priorités pour les services publics ?","Quelle serait pour vous une priorité des services publics ?","Payer plus d'impôts pour améliorer les services publics que vous utilisez","Payer plus d’impôts pour développer de nouveaux services publics","Réduire les services publics pour payer moins d’impôts","Ne payer ni plus ni moins d’impôts et faire avec l’existant","Dans le débat public, la question de l’avenir des services publics vous paraît traitée à la hauteur des enjeux ?","Consentement à l'enregistrement des réponses au questionnaire","Souhaitez-vous :","Pouvez-vous nous raconter la dernière fois que vous avez éprouvé de la reconnaissance pour un service public et pourquoi ?","Pouvez-vous nous raconter votre expérience la plus difficile en lien avec un service public et pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de ne pas avoir pu répondre aux besoins d’une personne ou de la société ? Pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de changer la vie d’une personne ou d’améliorer la vie en commun ? Pourquoi ?","Nous autorisez-vous à publier votre témoignage (anonymisé) ?","Comment voulez-vous que ce témoignage soit signé ?","ID de l’entrée","Champ #65 supprimé","Champ #62 supprimé","Champ #33 supprimé"
53,"entre 60 et 69 ans",Oui,Homme,,Retraité·e,"Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Les forces de l’ordre (police, gendarmerie)
L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
La justice",,"Se sont beaucoup dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,718,,,
12,"entre 60 et 69 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Ne se prononce pas","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’hôpital ou le système de santé
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
La justice",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","J ai été amenée à porter plainte dans la localité proche de mon domicile ( VILLEFRANCHE de Rouergue) J ai été très bien reçue, écoutée . Ma plaine a par ailleurs été traitée rapidement par le tribunal de Rodez( 2 mois) ..","De nouveau , dans le  cas d un dépôt de plainte pour vol à Toulouse le mois dernier , le commissariat le plus proche était en panne informatique depuis plusieurs jours ….. Je me suis rendue au commissariat central et il y avait énormément de monde , je n ai pas pu attendre .
Je dois dire que j ai en tous cas été à chaque fois informée avec gentillesse .
Je regrette profondément qu on ne donne pas plus de moyens aux services publics et qu on ferme de plus  en plus de services de proximité ..",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.",Catherine,715,,,
86,"entre 30 et 39 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, plutôt d’accord","Ne se prononce pas","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université",,"Se sont plutôt dégradés","Qu’ils s’adaptent mieux aux particularités de ma situation
Qu’ils soient davantage présents sur le territoire
Autre (préciser) :","Leur valorisation plutôt que leur destruction","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,713,,,
59,"entre 40 et 49 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les transports en commun
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Non, plutôt pas d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,707,,,
25,"entre 50 et 59 ans",Non,Femme,,"Employé·e (secrétaire, agent de catégorie C…)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
La justice",,"Se sont beaucoup dégradés","Qu’ils s’adaptent mieux aux particularités de ma situation
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,705,,,
69,"entre 30 et 39 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Ne se prononce pas","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Ne se prononce pas","Non, pas du tout d’accord","Oui, tout à fait d’accord","Ne se prononce pas","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les transports en commun
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)",,"N’ont pas sensiblement évolué","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Ne se prononce pas","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,691,,,
56,"entre 60 et 69 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Ne se prononce pas","Ne se prononce pas","Oui, plutôt d’accord","Ne se prononce pas","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,689,,,
17,"entre 40 et 49 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Ne se prononce pas","Non, plutôt pas d’accord","Oui, plutôt d’accord","Ne se prononce pas","Oui, plutôt d’accord","Non, plutôt pas d’accord","Ne se prononce pas","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)
Autre (préciser)","La culture","Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, plutôt d’accord","Ne se prononce pas","Non, plutôt pas d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,688,,,
44,"entre 60 et 69 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Ne se prononce pas","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,687,,,
78,"entre 50 et 59 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Le service public du logement
L’information publique (radio France, France télévision)
La justice",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,681,,,
94,"entre 30 et 39 ans",Oui,Homme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
Les transports en commun
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,679,,,
